id;name;zip; additionalNr;commune;bsfNr;abbreviation;alt;long;lang
1217;Montagny-les-Monts;1774;2;Montagny (FR);2029;FR;6.9919992;46.8104875;fr
3548;Montagny-pres-Yverdon;1442;0;Montagny-pres-Yverdon;5922;VD;6.6122899;46.7930042;fr
3892;Montalchez;2027;2;La Grande Beroche;6417;NE;6.7451610;46.8974472;fr
3825;Montana;3963;3;Crans-Montana;6253;VS;7.4899750;46.2974048;fr
3435;Montaubion-Chardonney;1041;22;Jorat-Menthue;5804;VD;6.7143277;46.6470760;fr
4026;Montavon;2857;0;Boecourt;6702;JU;7.2359743;47.3734220;fr
1303;Montbovon;1669;5;Haut-Intyamon;2121;FR;7.0457172;46.4862435;fr
1245;Montbrelloz;1475;3;Estavayer;2054;FR;6.8858226;46.8535861;fr
3416;Montcherand;1354;0;Montcherand;5756;VD;6.5106305;46.7326598;fr
450;Mont-Crosin;2610;4;Cormoret;432;BE;7.0353996;47.1840981;fr
3955;Mont-de-Buttes;2116;0;Val-de-Travers;6512;NE;6.5091846;46.8772347;fr
3017;Monte;6875;0;Castel San Pietro;5249;TI;9.0280454;45.8816669;it
2787;Monte Carasso;6513;0;Bellinzona;5002;TI;8.9970782;46.1870895;it
2964;Monteggio;6998;1;Monteggio;5202;TI;8.8137690;45.9960571;it
4102;Montenol;2884;0;Clos du Doubs;6808;JU;7.1519445;47.3528663;fr
1230;Montet (Broye);1483;0;Les Montets;2050;FR;6.8686989;46.8160225;fr
1264;Montet (Glane);1674;2;Montet (Glane);2089;FR;6.8139733;46.6445849;fr
1370;Montevraz;1724;4;Le Mouret;2220;FR;7.1759062;46.7262985;fr
3881;Montezillon;2037;2;Rochefort;6413;NE;6.8371559;46.9866258;fr
4065;Montfaucon;2362;0;Montfaucon;6751;JU;7.0510735;47.2826564;fr
4066;Montfavergier;2362;2;Montfaucon;6751;JU;7.0897848;47.3095793;fr
2415;Monthal;5237;0;Monthal;4106;AG;8.1433317;47.5178847;de
3154;Montherod;1174;0;Aubonne;5422;VD;6.3657836;46.4987794;fr
3741;Monthey;1870;0;Monthey;6153;VS;6.8152223;46.2070435;fr
3742;Monthey;1870;0;Monthey;6153;VS;6.9469963;46.2526966;fr
4098;Montignez;2924;0;Basse-Allaine;6807;JU;7.0592916;47.4870334;fr
3196;Mont-la-Ville;1148;5;Mont-la-Ville;5491;VD;6.4088870;46.6459012;fr
1847;Montlingen;9462;0;Oberriet (SG);3254;SG;9.5905109;47.3348713;de
1848;Montlingen;9462;0;Oberriet (SG);3254;SG;9.5072571;47.3107515;de
3169;Montmagny;1587;0;Vully-les-Lacs;5464;VD;7.0093859;46.9267709;fr
4101;Montmelon;2883;0;Clos du Doubs;6808;JU;7.1812773;47.3545014;fr
3927;Montmollin;2037;0;Val-de-Ruz;6487;NE;6.8469023;46.9930618;fr
3430;Montpreveyres;1081;0;Montpreveyres;5792;VD;6.7481855;46.5842394;fr
3517;Montreux;1820;0;Montreux;5886;VD;6.9127993;46.4308324;fr
3197;Montricher;1147;0;Montricher;5492;VD;6.3769214;46.6011513;fr
4054;Montsevelier;2828;0;Val Terbi;6730;JU;7.5103567;47.3591244;fr
462;Mont-Soleil;2610;2;Saint-Imier;443;BE;6.9867625;47.1596945;fr
3491;Mont-sur-Rolle;1185;0;Mont-sur-Rolle;5859;VD;6.3369580;46.4709375;fr
456;Mont-Tramelan;2723;0;Mont-Tramelan;437;BE;7.0533772;47.2078228;fr
2539;Moosleerau;5054;2;Moosleerau;4277;AG;8.0645794;47.2691048;de
505;Moosseedorf;3302;0;Moosseedorf;544;BE;7.4822096;47.0175195;de
3035;Morbio Inferiore;6834;0;Morbio Inferiore;5257;TI;9.0168610;45.8536192;it
3041;Morbio Superiore;6835;0;Breggia;5269;TI;9.0207292;45.8614569;it
3122;Morcles;1892;2;Lavey-Morcles;5406;VD;7.0365511;46.2089934;fr
2965;Morcote;6922;0;Morcote;5203;TI;8.9142620;45.9231538;it
3776;Morel;3983;0;Morel-Filet;6203;VS;8.0446303;46.3559742;de
1249;Morens FR;1541;2;Estavayer;2054;FR;6.9075001;46.8444494;fr
1192;Morgarten;6315;3;Oberageri;1706;ZG;8.6351339;47.1008495;de
3324;Morges;1110;0;Morges;5642;VD;6.4999917;46.5107318;fr
3749;Morgins;1875;0;Troistorrents;6156;VS;6.8574784;46.2372259;fr
664;Morigen;2572;2;Morigen;742;BE;7.2119542;47.0843218;de
2486;Moriken AG;5103;2;Moriken-Wildegg;4203;AG;8.1909722;47.4164738;de
2065;Morissen;7143;0;Lumnezia;3618;GR;9.1807810;46.7298546;rm
1278;Morlens;1674;3;Ursy;2102;FR;6.8366741;46.6530420;fr
1327;Morlon;1638;0;Morlon;2143;FR;7.0877676;46.6279286;fr
3220;Morrens VD;1054;0;Morrens (VD);5527;VD;6.6266375;46.5911878;fr
1093;Morschach;6443;0;Morschach;1366;SZ;8.6203762;46.9816329;de
1822;Morschwil;9402;0;Morschwil;3214;SG;9.4244582;47.4681785;de
907;Mosen;6295;0;Hitzkirch;1030;LU;8.2277814;47.2428319;de
1964;Mosnang;9607;0;Mosnang;3394;SG;9.0397784;47.3624673;de
2878;Mosogno;6611;13;Onsernone;5136;TI;8.6390822;46.1988329;it
1280;Mossel;1675;3;Ursy;2102;FR;6.8556286;46.6104294;fr
1438;Motier (Vully);1787;0;Mont-Vully;2284;FR;7.0829819;46.9484589;fr
3951;Motiers NE;2112;0;Val-de-Travers;6512;NE;6.6115460;46.9119034;fr
439;Motschwil;3324;2;Hindelbank;409;BE;7.5674004;47.0488302;de
2808;Motto (Blenio);6721;2;Acquarossa;5048;TI;8.9712861;46.4287065;it
3351;Moudon;1510;0;Moudon;5678;VD;6.7991267;46.6681564;fr
625;Moutier;2740;0;Moutier;700;BE;7.3721573;47.2804894;fr
4041;Movelier;2812;0;Movelier;6718;JU;7.3163517;47.4100707;fr
3007;Mugena;6939;1;Alto Malcantone;5237;TI;8.8902893;46.0487323;it
3044;Muggio;6838;0;Breggia;5269;TI;9.0431098;45.9022478;it
2336;Muhen;5037;0;Muhen;4009;AG;8.0513559;47.3350294;de
2509;Muhlau;5642;0;Muhlau;4235;AG;8.3903677;47.2299609;de
3646;Muhlebach (Goms);3995;3;Ernen;6056;VS;8.1609314;46.4091077;de
3647;Muhlebach (Goms);3995;3;Ernen;6056;VS;8.2387188;46.4070319;de
611;Muhleberg;3203;0;Muhleberg;668;BE;7.2619414;46.9538038;de
748;Muhledorf BE;3116;2;Kirchdorf (BE);872;BE;7.5299444;46.8279805;de
1519;Muhledorf SO;4583;0;Buchegg;2465;SO;7.4783412;47.1339086;de
1155;Muhlehorn;8874;0;Glarus Nord;1630;GL;9.1726776;47.1173451;de
2555;Muhlethal;4812;0;Zofingen;4289;AG;7.9781164;47.3013857;de
765;Muhlethurnen;3127;0;Thurnen;889;BE;7.5076131;46.8140549;de
1966;Muhlruti;9613;0;Mosnang;3394;SG;8.9858726;47.3706395;de
498;Mulchi;3317;1;Fraubrunnen;538;BE;7.4736408;47.1017872;de
2025;Mulegns;7455;0;Surses;3543;GR;9.6214139;46.5250885;rm
524;Mulenen;3711;2;Reichenbach im Kandertal;567;BE;7.6930169;46.6380601;de
2734;Mullheim Dorf;8555;0;Mullheim;4831;TG;9.0104536;47.6031683;de
2775;Mullheim-Wigoltingen;8554;0;Wigoltingen;4951;TG;9.0155495;47.5881350;de
2416;Mulligen;5243;0;Mulligen;4107;AG;8.2394242;47.4578339;de
1497;Mumliswil;4717;0;Mumliswil-Ramiswil;2428;SO;7.6951259;47.3411780;de
2305;Mumpe Medel;7183;0;Disentis/Muster;3982;GR;8.8480762;46.6895222;rm
2524;Mumpf;4322;0;Mumpf;4255;AG;7.9227795;47.5457536;de
506;Munchenbuchsee;3053;0;Munchenbuchsee;546;BE;7.4460154;47.0217040;de
1645;Munchenstein;4142;0;Munchenstein;2769;BL;7.6215552;47.5136894;de
614;Munchenwiler;1797;0;Munchenwiler;669;BE;7.1263436;46.9117369;de
500;Munchringen;3303;2;Jegenstorf;540;BE;7.5221914;47.0461967;de
2458;Munchwilen AG;4333;0;Munchwilen (AG);4172;AG;7.9633307;47.5368830;de
2709;Munchwilen TG;9542;0;Munchwilen (TG);4746;TG;8.9990367;47.4797220;de
3570;Mund;3903;0;Naters;6007;VS;7.9390678;46.3163550;de
582;Munsingen;3110;0;Munsingen;616;BE;7.5553720;46.8764525;de
3657;Munster VS;3985;0;Goms;6077;VS;8.2663463;46.4893884;de
2683;Munsterlingen;8596;1;Munsterlingen;4691;TG;9.2350001;47.6314373;de
1427;Muntelier;3286;0;Muntelier;2274;FR;7.1240194;46.9354258;de
482;Muntschemier;3225;0;Muntschemier;498;BE;7.1421160;46.9933706;de
1808;Muolen;9313;0;Muolen;3202;SG;9.3215414;47.5200155;de
1094;Muotathal;6436;0;Muotathal;1367;SZ;8.7599358;46.9775399;de
1439;Mur (Vully) FR;1787;1;Mont-Vully;2284;FR;7.0633775;46.9445435;fr
3172;Mur (Vully) VD;1787;2;Vully-les-Lacs;5464;VD;7.0599703;46.9449641;fr
2872;Muralto;6600;2;Muralto;5120;TI;8.8052719;46.1726925;it
3740;Muraz (Collombey);1893;0;Collombey-Muraz;6152;VS;6.9257641;46.2802021;fr
3808;Muraz (Sierre);3960;5;Sierre;6248;VS;7.5297216;46.2975213;fr
1890;Murg;8877;0;Quarten;3295;SG;9.2159739;47.1128760;de
2540;Murgenthal;4853;0;Murgenthal;4279;AG;7.8322701;47.2654215;de
2510;Muri AG;5630;0;Muri (AG);4236;AG;8.3386834;47.2723301;de
384;Muri b. Bern;3074;0;Muri bei Bern;356;BE;7.4884817;46.9283691;de
4068;Muriaux;2338;2;Muriaux;6753;JU;6.9782927;47.2460839;fr
1247;Murist;1489;0;Estavayer;2054;FR;6.8073188;46.7904398;fr
552;Murren;3825;0;Lauterbrunnen;584;BE;7.8945302;46.5605579;de
1433;Murten;3280;0;Murten;2275;FR;7.1191097;46.9284213;de
391;Murzelen;3034;0;Wohlen bei Bern;360;BE;7.3148352;46.9817904;de
1960;Muselbach;9602;2;Kirchberg (SG);3392;SG;9.0414524;47.3905714;de
